================================================================
BSFF Bonn Bright Line (G1) | bsff 0.4.0 | statistic=sampen_lower_tail_m2_r015_v1
n_segments=100 n_surrogates=199 alpha=0.05 seed_base=20260623 threshold=0.8
================================================================

Set A
  [A] Z001 ✗ REFUTED     p=0.640 SampEn=2.318 surr=2.300 conv=ok
  [A] Z002 ✓ SURVIVED    p=0.005 SampEn=2.244 surr=2.368 conv=ok
  [A] Z003 ✓ SURVIVED    p=0.020 SampEn=2.195 surr=2.291 conv=ok
  [A] Z004 ✓ SURVIVED    p=0.030 SampEn=2.293 surr=2.414 conv=ok
  [A] Z005 ✗ REFUTED     p=0.205 SampEn=2.344 surr=2.388 conv=ok
  [A] Z006 ✓ SURVIVED    p=0.005 SampEn=2.258 surr=2.395 conv=ok
  [A] Z007 ✗ REFUTED     p=0.870 SampEn=2.528 surr=2.466 conv=ok
  [A] Z008 ✗ REFUTED     p=0.245 SampEn=2.457 surr=2.491 conv=ok
  [A] Z009 ✗ REFUTED     p=0.410 SampEn=2.252 surr=2.263 conv=ok
  [A] Z010 ✗ REFUTED     p=0.150 SampEn=2.072 surr=2.119 conv=ok
  [A] Z011 ✗ REFUTED     p=0.775 SampEn=2.322 surr=2.285 conv=ok
  [A] Z012 ✗ REFUTED     p=0.270 SampEn=2.220 surr=2.251 conv=ok
  [A] Z013 ✗ REFUTED     p=0.405 SampEn=2.299 surr=2.308 conv=ok
  [A] Z014 ✓ SURVIVED    p=0.015 SampEn=2.032 surr=2.115 conv=ok
  [A] Z015 ✗ REFUTED     p=0.255 SampEn=2.121 surr=2.149 conv=ok
  [A] Z016 ✗ REFUTED     p=0.300 SampEn=2.177 surr=2.200 conv=ok
  [A] Z017 ✗ REFUTED     p=0.105 SampEn=2.186 surr=2.242 conv=ok
  [A] Z018 ✗ REFUTED     p=0.860 SampEn=2.255 surr=2.197 conv=ok
  [A] Z019 ✗ REFUTED     p=0.120 SampEn=2.195 surr=2.244 conv=ok
  [A] Z020 ✗ REFUTED     p=0.620 SampEn=2.467 surr=2.424 conv=ok
  [A] Z021 ✗ REFUTED     p=0.380 SampEn=2.214 surr=2.228 conv=ok
  [A] Z022 ✗ REFUTED     p=0.220 SampEn=2.214 surr=2.248 conv=ok
  [A] Z023 ✗ REFUTED     p=0.270 SampEn=2.287 surr=2.323 conv=ok
  [A] Z024 ✗ REFUTED     p=0.580 SampEn=2.448 surr=2.440 conv=ok
  [A] Z025 ✗ REFUTED     p=0.775 SampEn=2.357 surr=2.314 conv=ok
  [A] Z026 ✗ REFUTED     p=0.055 SampEn=2.226 surr=2.308 conv=ok
  [A] Z027 ✓ SURVIVED    p=0.030 SampEn=2.369 surr=2.493 conv=ok
  [A] Z028 ✗ REFUTED     p=0.100 SampEn=2.169 surr=2.223 conv=ok
  [A] Z029 ✓ SURVIVED    p=0.035 SampEn=2.283 surr=2.389 conv=ok
  [A] Z030 ✗ REFUTED     p=0.130 SampEn=2.357 surr=2.429 conv=ok
  [A] Z031 ✗ REFUTED     p=0.350 SampEn=2.227 surr=2.242 conv=ok
  [A] Z032 ✗ REFUTED     p=0.345 SampEn=2.304 surr=2.397 conv=ok
  [A] Z033 ✗ REFUTED     p=0.800 SampEn=2.500 surr=2.455 conv=ok
  [A] Z034 ✗ REFUTED     p=0.985 SampEn=2.464 surr=2.344 conv=ok
  [A] Z035 ✗ REFUTED     p=0.320 SampEn=2.101 surr=2.117 conv=ok
  [A] Z036 ✗ REFUTED     p=0.550 SampEn=2.306 surr=2.302 conv=ok
  [A] Z037 ✗ REFUTED     p=0.350 SampEn=2.401 surr=2.427 conv=ok
  [A] Z038 ✗ REFUTED     p=0.605 SampEn=2.449 surr=2.436 conv=ok
  [A] Z039 ✗ REFUTED     p=0.460 SampEn=2.161 surr=2.171 conv=ok
  [A] Z040 ✗ REFUTED     p=0.255 SampEn=2.320 surr=2.348 conv=ok
  [A] Z041 ✗ REFUTED     p=0.540 SampEn=2.219 surr=2.215 conv=ok
  [A] Z042 ✗ REFUTED     p=0.555 SampEn=2.477 surr=2.472 conv=ok
  [A] Z043 ✗ REFUTED     p=0.065 SampEn=2.370 surr=2.456 conv=ok
  [A] Z044 ✗ REFUTED     p=0.830 SampEn=2.455 surr=2.400 conv=ok
  [A] Z045 ✓ SURVIVED    p=0.045 SampEn=2.196 surr=2.278 conv=ok
  [A] Z046 ✗ REFUTED     p=0.365 SampEn=2.340 surr=2.349 conv=ok
  [A] Z047 ✗ REFUTED     p=0.135 SampEn=2.270 surr=2.323 conv=ok
  [A] Z048 ✗ REFUTED     p=0.710 SampEn=2.392 surr=2.365 conv=ok
  [A] Z049 ✓ SURVIVED    p=0.005 SampEn=2.388 surr=2.503 conv=ok
  [A] Z050 ✗ REFUTED     p=0.345 SampEn=2.313 surr=2.336 conv=ok
  [A] Z051 ✗ REFUTED     p=0.475 SampEn=2.419 surr=2.408 conv=ok
  [A] Z052 ✗ REFUTED     p=0.515 SampEn=2.512 surr=2.512 conv=ok
  [A] Z053 ✗ REFUTED     p=0.230 SampEn=2.350 surr=2.393 conv=ok
  [A] Z054 ✗ REFUTED     p=0.070 SampEn=2.216 surr=2.333 conv=ok
  [A] Z055 ✗ REFUTED     p=0.420 SampEn=2.460 surr=2.470 conv=ok
  [A] Z056 ✓ SURVIVED    p=0.050 SampEn=2.257 surr=2.348 conv=ok
  [A] Z057 ✗ REFUTED     p=0.565 SampEn=2.237 surr=2.233 conv=ok
  [A] Z058 ✗ REFUTED     p=0.685 SampEn=2.471 surr=2.413 conv=ok
  [A] Z059 ✗ REFUTED     p=0.220 SampEn=2.246 surr=2.286 conv=ok
  [A] Z060 ✗ REFUTED     p=0.480 SampEn=2.415 surr=2.421 conv=ok
  [A] Z061 ✗ REFUTED     p=0.180 SampEn=2.350 surr=2.399 conv=ok
  [A] Z062 ✗ REFUTED     p=0.280 SampEn=2.216 surr=2.243 conv=ok
  [A] Z063 ✗ REFUTED     p=0.360 SampEn=2.237 surr=2.258 conv=ok
  [A] Z064 ✗ REFUTED     p=0.265 SampEn=2.364 surr=2.405 conv=ok
  [A] Z065 ✗ REFUTED     p=0.470 SampEn=2.444 surr=2.451 conv=ok
  [A] Z066 ✗ REFUTED     p=0.700 SampEn=2.487 surr=2.457 conv=ok
  [A] Z067 ✗ REFUTED     p=0.585 SampEn=2.276 surr=2.279 conv=ok
  [A] Z068 ✗ REFUTED     p=0.790 SampEn=2.354 surr=2.312 conv=ok
  [A] Z069 ✗ REFUTED     p=0.415 SampEn=2.354 surr=2.368 conv=ok
  [A] Z070 ✗ REFUTED     p=0.360 SampEn=2.350 surr=2.371 conv=ok
  [A] Z071 ✗ REFUTED     p=0.380 SampEn=2.351 surr=2.366 conv=ok
  [A] Z072 ✗ REFUTED     p=0.415 SampEn=2.467 surr=2.482 conv=ok
  [A] Z073 ✓ SURVIVED    p=0.020 SampEn=2.379 surr=2.503 conv=ok
  [A] Z074 ✗ REFUTED     p=0.720 SampEn=2.293 surr=2.266 conv=ok
  [A] Z075 ✗ REFUTED     p=0.325 SampEn=2.322 surr=2.345 conv=ok
  [A] Z076 ✓ SURVIVED    p=0.030 SampEn=2.187 surr=2.284 conv=ok
  [A] Z077 ✗ REFUTED     p=0.900 SampEn=2.438 surr=2.369 conv=ok
  [A] Z078 ✓ SURVIVED    p=0.020 SampEn=2.359 surr=2.491 conv=ok
  [A] Z079 ✗ REFUTED     p=0.275 SampEn=2.397 surr=2.432 conv=ok
  [A] Z080 ✗ REFUTED     p=0.260 SampEn=2.377 surr=2.413 conv=ok
  [A] Z081 ✗ REFUTED     p=0.375 SampEn=2.381 surr=2.393 conv=ok
  [A] Z082 ✗ REFUTED     p=0.220 SampEn=2.353 surr=2.389 conv=ok
  [A] Z083 ✗ REFUTED     p=0.310 SampEn=2.370 surr=2.392 conv=ok
  [A] Z084 ✗ REFUTED     p=0.165 SampEn=2.357 surr=2.408 conv=ok
  [A] Z085 ✗ REFUTED     p=0.370 SampEn=2.393 surr=2.413 conv=ok
  [A] Z086 ✓ SURVIVED    p=0.020 SampEn=2.219 surr=2.329 conv=ok
  [A] Z087 ✗ REFUTED     p=0.095 SampEn=2.382 surr=2.456 conv=ok
  [A] Z088 ✗ REFUTED     p=0.305 SampEn=2.309 surr=2.333 conv=ok
  [A] Z089 ✗ REFUTED     p=0.350 SampEn=2.345 surr=2.364 conv=ok
  [A] Z090 ✗ REFUTED     p=0.230 SampEn=2.361 surr=2.400 conv=ok
  [A] Z091 ✗ REFUTED     p=0.935 SampEn=2.488 surr=2.399 conv=ok
  [A] Z092 ✗ REFUTED     p=0.880 SampEn=2.377 surr=2.330 conv=ok
  [A] Z093 ✗ REFUTED     p=0.315 SampEn=2.420 surr=2.445 conv=ok
  [A] Z094 ✗ REFUTED     p=0.290 SampEn=2.306 surr=2.336 conv=ok
  [A] Z095 ✗ REFUTED     p=0.615 SampEn=2.444 surr=2.428 conv=ok
  [A] Z096 ✗ REFUTED     p=0.325 SampEn=2.378 surr=2.402 conv=ok
  [A] Z097 ✗ REFUTED     p=0.095 SampEn=2.229 surr=2.300 conv=ok
  [A] Z098 ✗ REFUTED     p=0.490 SampEn=2.358 surr=2.354 conv=ok
  [A] Z099 ✗ REFUTED     p=0.570 SampEn=2.502 surr=2.494 conv=ok
  [A] Z100 ✗ REFUTED     p=0.590 SampEn=2.354 surr=2.340 conv=ok

Set B
  [B] O001 ✗ REFUTED     p=0.840 SampEn=2.384 surr=2.330 conv=ok
  [B] O002 ✗ REFUTED     p=0.675 SampEn=2.330 surr=2.306 conv=ok
  [B] O003 ✗ REFUTED     p=0.605 SampEn=2.369 surr=2.353 conv=ok
  [B] O004 ✗ REFUTED     p=0.210 SampEn=2.351 surr=2.402 conv=ok
  [B] O005 ✗ REFUTED     p=0.085 SampEn=2.262 surr=2.333 conv=ok
  [B] O006 ✗ REFUTED     p=0.385 SampEn=2.375 surr=2.394 conv=ok
  [B] O007 ✓ SURVIVED    p=0.040 SampEn=2.129 surr=2.222 conv=ok
  [B] O008 ✗ REFUTED     p=0.140 SampEn=2.313 surr=2.368 conv=ok
  [B] O009 ✗ REFUTED     p=0.740 SampEn=2.324 surr=2.294 conv=ok
  [B] O010 ✗ REFUTED     p=0.155 SampEn=2.212 surr=2.273 conv=ok
  [B] O011 ✗ REFUTED     p=0.485 SampEn=2.185 surr=2.191 conv=ok
  [B] O012 ✗ REFUTED     p=0.155 SampEn=2.387 surr=2.443 conv=ok
  [B] O013 ✗ REFUTED     p=0.645 SampEn=2.354 surr=2.334 conv=ok
  [B] O014 ✗ REFUTED     p=0.570 SampEn=2.193 surr=2.183 conv=ok
  [B] O015 ✗ REFUTED     p=0.440 SampEn=2.156 surr=2.167 conv=ok
  [B] O016 ✗ REFUTED     p=0.400 SampEn=2.362 surr=2.374 conv=ok
  [B] O017 ✗ REFUTED     p=0.135 SampEn=2.063 surr=2.132 conv=ok
